operation,changed_option,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,full_set_preference_rank,preference_score_change,pairwise_preference_reversals_among_retained
add_copy,Deep renovation + PV,combined_private,Diagnostic copy of Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.01065,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,4,False,,,0
add_copy,Deep renovation + PV,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.1905,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False,3,0.0,0
add_copy,Deep renovation + PV,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.3181,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
add_copy,Deep renovation + PV,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,2,0.0,0
add_copy,Deep renovation + PV,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,3,0.0,0
add_copy,Deep renovation + PV,owner,Diagnostic copy of Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,,,0
add_copy,Deep renovation + PV,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,3,0.0,0
add_copy,Deep renovation + PV,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,2,0.0,0
add_copy,Deep renovation + PV,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
add_copy,Deep renovation + PV,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,0.5,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
add_copy,Deep renovation + PV,tenant,Diagnostic copy of Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,0.5,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,,,0
add_copy,Deep renovation + PV,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,1,0.0,0
add_copy,Deep renovation + PV,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,4,False,3,0.0,0
add_copy,Deep renovation + PV,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,5,False,4,0.0,0
add_dominated,synthetic EUR 100k below every outcome,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,4,False,4,0.0,0
add_dominated,synthetic EUR 100k below every outcome,combined_private,Diagnostic dominated alternative,False,True,-828350.0828338464,-826218.1454107135,-1471302.7543831323,-100000.0,0.0,0.0,-1725829.599168383,929465.321325666,1669969.9835656448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,False,,,0
add_dominated,synthetic EUR 100k below every outcome,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.1905,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False,3,0.0,0
add_dominated,synthetic EUR 100k below every outcome,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.3181,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
add_dominated,synthetic EUR 100k below every outcome,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,2,0.0,0
add_dominated,synthetic EUR 100k below every outcome,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,3,0.0,0
add_dominated,synthetic EUR 100k below every outcome,owner,Diagnostic dominated alternative,False,True,-2106591.930607726,-2079370.906239395,-2558016.4685533,-1690528.6077594953,0.0,0.0,-2776474.7668404267,2106591.930607726,2715839.664146097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,,,0
add_dominated,synthetic EUR 100k below every outcome,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,3,0.0,0
add_dominated,synthetic EUR 100k below every outcome,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,2,0.0,0
add_dominated,synthetic EUR 100k below every outcome,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
add_dominated,synthetic EUR 100k below every outcome,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
add_dominated,synthetic EUR 100k below every outcome,tenant,Diagnostic dominated alternative,False,True,-100000.0,-100000.0,-100000.0,-100000.0,0.0,0.0,-100000.0,1420776.9292363275,2361399.218592416,0.0,0.0,0.0,0.0,0.8666666666666667,0.4,0.44333333333333336,5,False,,,0
add_dominated,synthetic EUR 100k below every outcome,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,1,0.0,0
add_dominated,synthetic EUR 100k below every outcome,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,3,False,3,0.0,0
add_dominated,synthetic EUR 100k below every outcome,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,4,0.0,0
